(1203,0.1148086053346144)
(100,0.9409344754540385)
(340,0.8804637232685792)
(1450,0.03604431138027451)
(1451,0.10485435068285212)
(1310,0.0019969799871959104)
(1674,0.014466792193363793)
(1309,0.001003429082888056)
(1420,0.03495086312912275)
(321,1.031513665519436)
(1659,0.008882295231101265)
(319,0.9953606625039539)
(430,0.06558636280322694)
(1660,0.014439829793017315)
(1526,0.008047416096058658)
(306,0.7565016564850104)
(303,0.8384867487181036)
(301,1.0783144273080616)
(302,1.0004726517351283)
(661,0.0696758902238501)
(1515,0.015320534083957227)
(657,0.06347172037609175)
(656,0.05117628620750205)
(530,0.0015484961415476554)
(1507,0.020226513124380386)
(525,0.16627431159096806)
(524,0.0692134852389186)
(646,-0.047633682408230474)
(641,-4.0991696643259516E-4)
(519,0.06171599611414495)
(517,0.26917976159007634)
(514,0.2510769842910713)
(515,0.6711171125876723)
(516,0.20932503314641598)
(513,0.13433993357410773)
(1298,0.08276640018866402)
(507,0.12020248907917225)
(505,0.1070313944206362)
(745,0.08832614793206121)
(502,0.10203279106762032)
(740,0.5903285644652493)
(181,0.797803307379026)
(617,0.14204950532432084)
(618,0.14652369976674828)
(855,0.1120555086077826)
(611,0.1326311070755882)
(1397,0.06115119507750966)
(297,0.6358828192515951)
(608,0.10012229892807273)
(607,0.14470229272709936)
(604,0.16476142669572746)
(602,0.19323556197036962)
(605,0.17790650079900505)
(606,0.1877704536698603)
(289,1.056370580916039)
(286,1.23445169535725)
(285,0.989432640098211)
(283,0.8972000429972256)
(1266,0.08039574659187887)
(50,0.8497503901714806)
(835,0.09967244918117613)
(711,0.02296121754936409)
(836,0.16871456155768974)
(1138,0.066543074210826)
(275,1.0044759451479073)
(152,0.0549199554577538)
(1020,0.18903512560603444)
(1021,0.09746537313714615)
(701,0.05691865588637389)
(1123,0.053869207033611824)
(269,1.107804310498265)
(1125,0.051656897701254624)
(1124,0.10792719577149336)
(811,0.1259501384683771)
(1474,0.019187066075507554)
(499,0.17219556946371484)
(258,1.0759433436266341)
(257,0.8178885656968967)
(494,0.2007219506096434)
(493,0.2451485201347763)
(490,0.178572480555279)
(492,0.1439425727161004)
(497,0.17620778520698538)
(1355,0.12456856838927009)
(127,0.8386299096201086)
(489,0.16318051978887124)
(488,0.18609797804159997)
(484,0.015022664105621131)
(242,0.8284871458578213)
(481,0.20548867463610912)
(482,0.13680578134918084)
(487,0.25238317945595823)
(1472,0.05461778295730507)
(14,0.8939517605108654)
(478,0.18476650451432297)
(1456,0.06410193422663807)
(906,0.22564395076152438)
(1449,0.04294329349609091)
(902,0.31698573224815974)
(900,0.40710259949747307)
(1200,0.062238219770463)
(901,0.04922751246352213)
(1204,0.12491874550366976)
(1205,0.05006140638531753)
(1444,-0.0045276344212999975)
(1447,0.015322605244526857)
(1443,-0.005740766977639825)
(1430,0.01255643743140826)
(1432,-9.516108298139939E-4)
(1556,-0.01885611442092152)
(1313,0.17432433892547655)
(1433,0.017911552454259037)
(1558,0.015711007860894594)
(1306,-0.0066317302430334655)
(1307,-0.00813392792361701)
(1661,0.006705224186996776)
(1544,-0.004504252198185454)
(1545,0.034799718341843464)
(1671,0.005805483690078671)
(1539,0.006881490758161718)
(1530,0.04491726972680045)
(1411,-0.0249665417730717)
(1654,0.0029272177765210143)
(1656,0.025398295546178996)
(1412,-0.005553984029020527)
(1533,0.003230934761114205)
(1408,-0.010893329229665533)
(1409,-0.024251539621154707)
(1521,0.0736472786979906)
(1523,0.012047799071374142)
(1512,0.017696852633175875)
(1626,-0.004403409422472859)
